VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
74.831244,5.222718,11.979599,30.705864,22.97854733,0.941204644,0.170088619
74.82747,5.2519332,11.979599,30.86967,23.1826061,0.94100951,0.17013247
74.829303,5.267265,11.979923,30.952764,23.33403931,0.940798453,0.170171071
74.826715,5.2970636,11.979707,31.115704,23.60485132,0.94044621,0.170237627
74.827146,5.3264298,11.979383,31.281458,23.82897412,0.94021256,0.170274346
74.82995,5.3415672,11.979599,31.363038,23.99258784,0.939974893,0.170314088
74.824234,5.3710198,11.979491,31.527282,24.20165136,0.939779277,0.170361016
74.823372,5.3866976,11.979383,31.609944,24.38325259,0.939503289,0.170411488
74.817117,5.4159126,11.978952,31.772018,24.60748809,0.939271205,0.170461713
74.820783,5.4305956,11.979168,31.854464,24.73143914,0.939133311,0.170481462
74.819166,5.4604382,11.978413,32.02,24.99664786,0.9388155,0.170532111
74.816901,5.4754456,11.977119,32.101146,25.17662571,0.938542012,0.17056854
74.813018,5.5048984,11.977119,32.266468,25.37873614,0.938376905,0.170607406
